,Origin_airport,Destination_airport,Origin_city,Destination_city,Passengers,Seats,Flights,Distance,Fly_date,Origin_population,Destination_population,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long
2732468,DFW,SJT,"Dallas, TX","San Angelo, TX",11,64,1,228,1994-01-01,8613622,102436,32.896800994873,-97.0380020141602,31.3577003479004,-100.496002197266
2732581,LAW,SJT,"Lawton, OK","San Angelo, TX",12,30,1,252,1996-04-01,109848,103493,34.5676994324,-98.4166030884,31.3577003479004,-100.496002197266
2733015,IAH,SJT,"Houston, TX","San Angelo, TX",846,1680,56,321,2005-06-01,5299567,106662,29.9843997955322,-95.3414001464844,31.3577003479004,-100.496002197266
2733276,IAH,SJT,"Houston, TX","San Angelo, TX",1210,1836,54,321,2008-04-01,5726705,109152,29.9843997955322,-95.3414001464844,31.3577003479004,-100.496002197266
2733396,SFO,STS,"San Francisco, CA","Santa Rosa, CA",1738,4104,114,66,1990-05-01,7436126,390152,37.6189994812012,-122.375,38.50899887,-122.8130035
2733486,SFO,STS,"San Francisco, CA","Santa Rosa, CA",398,750,25,66,1993-02-01,7635582,406467,37.6189994812012,-122.375,38.50899887,-122.8130035
2734065,BWI,SHV,"Baltimore, MD","Shreveport, LA",86,142,1,1067,1991-10-01,2410834,356747,39.17539978,-76.66829681,32.4466018676758,-93.8255996704102
2734211,EKO,SHV,"Elko, NV","Shreveport, LA",74,124,1,1345,1992-09-01,38698,357812,40.8249015808105,-115.791999816895,32.4466018676758,-93.8255996704102
2735009,PHL,SHV,"Philadelphia, PA","Shreveport, LA",28,107,1,1155,1995-03-01,11004980,361143,39.871898651123,-75.241096496582,32.4466018676758,-93.8255996704102
2735105,DFW,SHV,"Dallas, TX","Shreveport, LA",4701,17284,116,190,1995-09-01,8787062,361143,32.896800994873,-97.0380020141602,32.4466018676758,-93.8255996704102
2735244,ATL,SHV,"Atlanta, GA","Shreveport, LA",102,139,1,552,1996-09-01,3652439,361277,33.6366996765137,-84.4281005859375,32.4466018676758,-93.8255996704102
2735324,MCI,SHV,"Kansas City, MO","Shreveport, LA",66,150,1,475,1996-09-01,1753337,361277,39.2976,-94.713898,32.4466018676758,-93.8255996704102
2735468,COS,SHV,"Colorado Springs, CO","Shreveport, LA",107,142,1,752,1996-10-01,491129,361277,38.805801391602,-104.70099639893,32.4466018676758,-93.8255996704102
2735507,HOU,SHV,"Houston, TX","Shreveport, LA",38,100,1,211,1997-05-01,4351339,362245,29.64539909,-95.27890015,32.4466018676758,-93.8255996704102
2735530,IAH,SHV,"Houston, TX","Shreveport, LA",3076,6308,135,192,1997-04-01,4351339,362245,29.9843997955322,-95.3414001464844,32.4466018676758,-93.8255996704102
2735712,LIT,SHV,"Little Rock, AR","Shreveport, LA",20,98,1,182,1997-04-01,575523,362245,34.7294006348,-92.2242965698,32.4466018676758,-93.8255996704102
2735746,CAK,SHV,"Akron, OH","Shreveport, LA",0,0,2,901,1997-04-01,686918,362245,40.9160995483398,-81.4421997070312,32.4466018676758,-93.8255996704102
2736043,ATL,SHV,"Atlanta, GA","Shreveport, LA",3121,4619,31,552,1998-08-01,3872031,359802,33.6366996765137,-84.4281005859375,32.4466018676758,-93.8255996704102
2736060,ATL,SHV,"Atlanta, GA","Shreveport, LA",1891,2996,28,552,1998-02-01,3872031,359802,33.6366996765137,-84.4281005859375,32.4466018676758,-93.8255996704102
2736378,STL,SHV,"St. Louis, MO","Shreveport, LA",132,400,4,476,1999-01-01,2663420,360022,38.7486991882324,-90.370002746582,32.4466018676758,-93.8255996704102
